image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1705911.jpeg,30-5-1909,0.666204911,Dyrehaven,0.773443468
1705794.jpeg,1883,0.078323734,Ejsbøl,0.148726887
1708027.jpeg,4/7.1907,0.519457411,Sørup,0.710466808
1743906.jpeg,25/7 1948,0.336171567,Spandet Egekrat Sønderjylland,0.144270991
1706144.jpeg,MISSING,0.949005759,MISSING,0.559560473
1742737.jpeg,MISSING,0.760669900,Dyrehaven,0.780275841
1728500.jpeg,28/4 70,0.072976660,Ørholm,0.444598363
1742829.jpeg,MISSING,0.089612004,MISSING,0.174274022
1708928.jpeg,22.8.12,0.476383753,Thorsager,0.790375871
1728532.jpeg,28-5-61.,0.389345256,Eremitagen,0.674819642
1743741.jpeg,1/10 1893,0.361421643,Dyrehaven,0.713734465
1706073.jpeg,19. 7. 1928,0.182294635,Dronninglund,0.378056987
1709401.jpeg,27.IV.2022,0.442816005,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.231606547
1707042.jpeg,8-6-1919,0.587781146,Dyrehaven,0.762155199
1710405.jpeg,6.6.1927,0.394692331,Høbjerg,0.627884207
1706828.jpeg,12/6 1962,0.605604729,Tisvilde Hegn Nordsjælland,0.237250682
1709490.jpeg,MISSING,0.799584723,Dyrehaven,0.783840558
1707362.jpeg,MISSING,0.897020309,Kb,0.971582298
1744443.jpeg,11.8.1922,0.325477417,Sønderborg,0.045053046
1744595.jpeg,MISSING,0.712249166,MISSING,0.458263110
1706976.jpeg,6/1869.,0.590751743,Nykjøbing paa Lolland | Ti,0.048617763
1709337.jpeg,19-9-1953,0.449945438,Dyrehaven,0.729181570
1709578.jpeg,16 4 70,0.040597151,Dyrehaven,0.357262807
1705690.jpeg,MISSING,0.975444074,Bo,0.989702940
1709496.jpeg,MISSING,0.797802364,Dyrehaven,0.782949379
1744604.jpeg,MISSING,0.710763868,MISSING,0.456777811
1743953.jpeg,6-4-1970,0.052776599,Løsø,0.892564413
1707397.jpeg,14.V.89.,0.563422249,Sondbg,0.043270688
1708924.jpeg,22.8.22,0.476680812,Thorsager,0.790969991
1708019.jpeg,MISSING,0.850678994,MISSING,0.523913307
1707227.jpeg,17-7-1977,0.575898757,Jægerspr. N.Sk.,0.397068809
1742760.jpeg,MISSING,0.755619885,Møen,0.397959988
1709802.jpeg,14.9.1948,0.422615944,Rye Skov v. Borup Sjæll.,0.134170961
1708959.jpeg,7/9.1870,0.475789633,Bornholm,0.777899363
1708760.jpeg,10/1873,0.493019097,Rask Horsens | Ho,0.260421340
1706196.jpeg,27/6 1934,0.638281297,Skallingen,0.691157927
1705531.jpeg,MISSING,0.980791149,Danmark,0.878305547
1708031.jpeg,31/5.88.,0.519160352,Gaabense,0.816517126
1743937.jpeg,30.10 1964,0.203979994,V.Sjælland Røsnæs Kongstrup Kl,0.213485905
1706415.jpeg,16.5.1896,0.288344953,Friis's Mark,0.276759624
1705680.jpeg,3/6 1870.,0.117832677,Rønne,0.063470749
1707269.jpeg,17-VIII-1976,0.572631100,Krenkerup,0.753837527
1709870.jpeg,12/7.1870,0.135359200,Ørholm,0.900882085
1708809.jpeg,MISSING,0.085156108,Horsens Bøje Tebbstr,0.036438315
1709776.jpeg,20-5-1956,0.174571082,JægersprisNord skov,0.079214914
1709832.jpeg,28.7.1923,0.419051228,Thorsager,0.722052137
1743996.jpeg,23-9-1956,0.327556835,Boserup,0.582434071
1744647.jpeg,10-5-1956,0.321912701,Kongelunden,0.605010609
1743777.jpeg,19-9-36,0.014158836,Klosterh,0.246756593
1706163.jpeg,1/8.1901,0.150212186,Sandager Lolland,0.361421643
1744554.jpeg,MISSING,0.719378600,Kb,0.979008791
1709884.jpeg,MISSING,0.782652319,Falster,0.625507730
1707218.jpeg,30-8-62.,0.577681115,Dyrehaven,0.756214004
1706438.jpeg,14/6.1871,0.159421037,Dronninglund,0.163282813
1708755.jpeg,MISSING,0.839093665,Veile | Ve,0.191206426
1728462.jpeg,MISSING,0.771661109,Kb,0.952273416
1728571.jpeg,MISSING,0.764234617,MISSING,0.475195514
1708024.jpeg,10 Okt. 1884,0.520051531,Tebbestrup,0.353698090
1708034.jpeg,7/7 1907,0.518566232,Frederiksværk,0.307356775
1706487.jpeg,15/6 1871.,0.616001819,Nord for Storskoven Vendsyssel | Al,0.137438618
1710347.jpeg,26-8-1956,0.404792361,Nekselø S.,0.677493180
1743783.jpeg,13-8-36.,0.355777508,Hindsholm,0.627587148
1705912.jpeg,4-5-1914,0.299336162,Vamdrup,0.872958472
1742792.jpeg,MISSING,0.749975750,Lolland,0.847114277
1709204.jpeg,18.10.1997,0.461530767,Holmegårds Mose,0.292800849
1707695.jpeg,MISSING,0.876820249,Boserup,0.888999697
1707516.jpeg,19-6-1954,0.265768415,"Ørgaard Nors, Thy",0.337656866
1707252.jpeg,MISSING,0.905932101,Dyrehaven,0.069114883
1709786.jpeg,14. IV. 1995,0.424398303,LFM PF67 MALTRUP,0.355183389
1744545.jpeg,MISSING,0.720863898,Kb,0.947223401
1706123.jpeg,6/1870,0.138329797,Bornholm,0.823646560
1706969.jpeg,29/5 1870,0.157935738,Dyrehaven | Kb,0.412515914
1708930.jpeg,22.8.22,0.242894817,Thorsager,0.790078812
1705628.jpeg,30-V 1997,0.128823886,"DRAVED SKOV, SJ",0.205762352
1709808.jpeg,19.IX.1992,0.421724765,Høstemark Skov NEJ,0.302306760
1743030.jpeg,11.5.1982.,0.371224614,Grib skov,0.716110943
1728476.jpeg,MISSING,0.768987572,MISSING,0.477571992
1707436.jpeg,8/6-19.,0.266956654,Hammeren,0.820675962
1706139.jpeg,MISSING,0.950491058,Bo,0.976335253
1707006.jpeg,1/6.1899,0.275571385,Kjeldskov,0.389642316
1709428.jpeg,27.IV.2022,0.435983631,"DENMARK: NEZ: Hellebæk Avlsgård, Kohave, 56.0554N 12.5439E",0.140706275
1707561.jpeg,26-6-1955,0.547975144,Lindholm,0.818893604
1744614.jpeg,MISSING,0.710169748,Esbjerg,0.840578963
1707831.jpeg,MISSING,0.865234920,SS,0.981979388
1705945.jpeg,5.6.1965,0.298444983,Knudshoved,0.701555017
1706194.jpeg,13/6 1939. | 13/6 39,0.293692028,Ærø Svendborg Amt,0.078026675
1707775.jpeg,MISSING,0.869987875,Øbjerggård,0.039111852
1706841.jpeg,8-9-1970,0.602931191,Læsø,0.665907851
1708422.jpeg,17-5-1964,0.507872082,Jægerspr. N.Sk,0.357856926
1709333.jpeg,23-10-57.,0.450242498,Eremitagen,0.678087299
1707813.jpeg,6/1862,0.262203698,Ti | Kulhuset Jægerspris,0.161203395
1707008.jpeg,2/5-1910,0.149321006,Vester Ulslev,0.356371628
1743798.jpeg,3/5-1942,0.354292210,Tisvilde Hegn ved Asserbo,0.222694756
1705858.jpeg,MISSING,0.960888148,MISSING,0.564313428
1708799.jpeg,28/9 84,0.246162473,Tebbestrup bakker Randers,0.143082752
1707268.jpeg,17.VIII-1976,0.572928160,Krenkerup,0.754134586
1709128.jpeg,25-6-1960,0.056341316,Jægerspr. N.Sj.,0.102385571
1744691.jpeg,10-5-1956,0.198038800,Kongelunden,0.379839345
1708844.jpeg,14.10.1979.,0.489454380,Lindum skov,0.363501061
1705535.jpeg,21/7-1920,0.697099121,Hammer Bakker Vendsyssel,0.149023947
1706260.jpeg,4/6 87 | 6/80,0.060203092,Harb. Str. | Eremitag,0.053073659
1706945.jpeg,26/5.1870,0.276759624,Dyrehaven,0.280324341
1706091.jpeg,MISSING,0.957917551,Veilø Bugt,0.610654744
1709370.jpeg,12-10-1952,0.449351319,Dyrehaven,0.727399212
1744623.jpeg,22/5-1900,0.200712337,Vester Ulslev Kjeldskov,0.083076690
1744626.jpeg,MISSING,0.709872689,MISSING,0.456480752
1710351.jpeg,26-8-1956,0.403604122,Nekselø S.,0.676899060
1708001.jpeg,MISSING,0.852164292,Lolland,0.859590785
1706444.jpeg,14/6.1871,0.285968475,Dronninglund,0.156450440
1707168.jpeg,MISSING,0.914843892,MS,0.838499545
1708788.jpeg,10/73,0.247053653,Rask Horsens,0.393504092
1743591.jpeg,Juni 1817.,0.363798121,Sielland,0.810872992
1707388.jpeg,MISSING,0.194177023,MISSING,0.374492270
1706108.jpeg,17/6.1870,0.642143074,Rø Bornholm,0.651054865
1707672.jpeg,MISSING,0.193879964,MISSING,0.374195211
1708933.jpeg,MISSING,0.827508336,Øbjerggård,0.648975447
1708987.jpeg,MISSING,0.823052440,MISSING,0.179918157
1744661.jpeg,16-5-1991,0.320427402,Jylland Skallingen,0.206356472
1709192.jpeg,29-8-1952,0.463313125,Dyrehaven,0.735122764
1705892.jpeg,31/8 1944.,0.668581388,Ulfshale Møen,0.321318581
1706313.jpeg,6/1869,0.291018490,Agrivig Schulih,0.016535314
1709101.jpeg,11/9 -1965.,0.469551379,4 km. S.V. Gl. Skagen,0.142785693
1707562.jpeg,26-6-1955,0.547678084,Lindholm,0.818596544
1728572.jpeg,MISSING,0.763937557,MISSING,0.474898454
1707694.jpeg,MISSING,0.877117308,Boserup,0.861076084
1705784.jpeg,15.7.1908,0.674225523,Ordrup,0.655213701
1709505.jpeg,13/5. 1870,0.431527736,Aldershvile,0.576492877
1706252.jpeg,24.6.1975,0.631745984,GRØNNINGEN FANØ | DANMARK,0.148429827
1709034.jpeg,4/9.1905,0.240815399,Vester Ulslev Haven,0.253886026
1708376.jpeg,27.4-49,0.513516217,Frederikslund,0.442221885
1707265.jpeg,23.7.1998,0.573819339,Dyrehaven,0.754728706
1743711.jpeg,23/4 1891,0.211109427,Saltesø Skov,0.213188845
1743559.jpeg,MISSING,0.737202182,Skagen,0.912467414
1709060.jpeg,Aug 1934,0.152291604,Tange v. Ribe,0.430636557
1709921.jpeg,MISSING,0.776117005,Boserup,0.850678994
1705561.jpeg,7-6-1922,0.695910882,Dyrehaven,0.775522886
1707447.jpeg,13/6 1939. | 13/6 39,0.108623825,Ærø Svendborg Amt,0.081591391
1728471.jpeg,MISSING,0.769878751,MISSING,0.176353440
1705982.jpeg,6-1915.,0.658778418,Vorbasse,0.417268869
1743013.jpeg,19.V.2022,0.373898151,"Denmark: Samsø: EJ: Følsdal Bakke, 55.9922N, 10.5515E, h30m",0.194771143
1709502.jpeg,MISSING,0.796614125,Dyrehaven,0.782355259
1705698.jpeg,MISSING,0.974255835,Øbjerggård Næstved | SS,0.119020915
1744436.jpeg,8.5.25,0.326962716,Saltholm,0.809387693
1709384.jpeg,19.IX.1992,0.446380721,Høstemark Skov NEJ,0.302603819
1705994.jpeg,23.7.44,0.656699000,DANMARK | Stasevang,0.302009700
1706362.jpeg,MISSING,0.937717490,MISSING,0.185562292
1742761.jpeg,MISSING,0.755322825,Møen,0.608278266
1706316.jpeg,6/1869,0.099117915,Rørvig,0.833746590
1744562.jpeg,MISSING,0.717893301,Kb,0.944549864
1709791.jpeg,26.3.1978.,0.423804183,Øse,0.837905426
1705515.jpeg,MISSING,0.982276447,MISSING,0.572631100
1709394.jpeg,27.IV.2022,0.444598363,"DENMARK: NEZ: Helsingør, Grønne Vestkile, 56.0375N, 12.5598E",0.217347681
1709229.jpeg,8.10.21,0.459451349,Dyrehaven,0.384889360
1707178.jpeg,MISSING,0.913358594,MS,0.136844498
1709097.jpeg,22.8.22,0.166253410,Thorsager,0.624616550
1705814.jpeg,MISSING,0.965641103,Dyrehaven,0.799287663
1706101.jpeg,MISSING,0.955541073,Veilø Bugt,0.421724765
1709164.jpeg,MISSING,0.813546529,MISSING,0.494504395
1743905.jpeg,26/7 1948,0.105950288,Stensbæk Plantage Sønderjylland,0.212297666
1709139.jpeg,29-VIII 1985,0.237250682,SKIBBY. SJ.,0.091988481
1708958.jpeg,7/9.1870,0.242003637,Bornholm,0.696505002
1743044.jpeg,26.9.1922,0.368848136,Dyreh.,0.830775993
1706268.jpeg,MISSING,0.195068202,MISSING,0.375680509
1705574.jpeg,21-5-49.,0.694425584,Eremitagen,0.634122461
1707927.jpeg,13.5.1938.,0.524507426,Aasø,0.939202789
1705992.jpeg,3.8.1973,0.657293119,Svinø strand,0.602931191
1743522.jpeg,6.6.92,0.093176720,Kulhus,0.116644438
1744700.jpeg,12-5-1957,0.318645044,Saltholm,0.437468930
1743025.jpeg,1. 10-65,0.213485905,Tisvilde h.,0.092285541
1709488.jpeg,MISSING,0.799881782,Dyrehaven,0.784137617
1705864.jpeg,MISSING,0.959699909,Kostr. Banke,0.114267960
1728602.jpeg,11/6 1933 | 22/6 1933,0.070006062,Saltholm,0.333795089
1707052.jpeg,21-5-49.,0.585998788,Eremitagen,0.687890270
1706323.jpeg,7/8 62.,0.026635344,Rørvig,0.171303425
1709274.jpeg,MISSING,0.811170052,Kb,0.981682328
1707161.jpeg,20/8 1888,0.580057593,Bognæs Roeskilde | MS,0.126150349
1710382.jpeg,16-7-1972,0.397959988,EJSTRUPHOLM,0.639172477
1728501.jpeg,10/4 79,0.065550167,Kbh,0.107435587
1705979.jpeg,19.6.96.,0.297850864,Onsild,0.667393149
1707319.jpeg,22.5.22,0.564907548,Søllerød,0.828399515
1709052.jpeg,23.8.03,0.473710215,Mølbæk,0.711952107
1709895.jpeg,MISSING,0.780869961,Kb,0.980791149
1709353.jpeg,MISSING,0.804634738,MISSING,0.489751440
1707424.jpeg,31.5.1888,0.561936951,Gaabense,0.820973022
1705976.jpeg,86.,0.011782358,MISSING,0.186750530
1705459.jpeg,MISSING,0.988514701,Veilø Bugt,0.450539557
1707482.jpeg,30.5-1909 | 1829,0.025447105,Dyrehaven,0.750866929
1742981.jpeg,MISSING,0.745816914,MISSING,0.470442558
1743837.jpeg,13-8-36,0.347459836,Hindsholm,0.713140346
1705962.jpeg,maj 75 | 1975,0.163282813,Vestjyll. Tipperne,0.317456805
1743933.jpeg,29-4-28,0.333795089,Trørød Hegn,0.096741437
1705501.jpeg,MISSING,0.985841164,Odense,0.915438012
1708889.jpeg,13.10.1991,0.482324947,Marselisborg,0.596989997
1710377.jpeg,29. august 1993,0.399148227,"DK, NWZ, PG 27 Kongstrup, Røsnæs",0.205168233
1708725.jpeg,20.10.1946,0.495692634,Salten,0.670363747
1709136.jpeg,24.10.1976,0.466283722,DANMARK | RØLD SKOV SKØRPING,0.109812064
1706011.jpeg,4.VI.1988,0.654322522,Råbjerg K. | DK.NEJ.NJ88,0.068520764
1708838.jpeg,29.3.1975,0.490642619,Tykskov v. Brande,0.324883298
1743793.jpeg,21/9 1934 | 21/9 34,0.207841770,Rudkøbing Svendborg Amt | Ru,0.201900576
1707955.jpeg,76/1870,0.042973628,Dyrehaven,0.660263716
1708441.jpeg,13-4-1963,0.504307366,Nødebohuse Halsnæs,0.284780236
1707684.jpeg,15/6 1871,0.539657472,Jydske Aas Vendsyssel,0.141894513
1706270.jpeg,MISSING,0.943361625,MISSING,0.557778115
1706287.jpeg,13-5-1972,0.627884207,SKALLINGEN,0.690266747
1707418.jpeg,23/6 1905,0.014752955,Mylgård Vendsyssel,0.012673537
1742816.jpeg,MISSING,0.746708093,MISSING,0.471630797
1705525.jpeg,2/7 1898,0.697396181,Kulhuse,0.878899667
1705859.jpeg,MISSING,0.960591088,MISSING,0.564016369
1707649.jpeg,MISSING,0.883355562,Kjøbenhavns Omegn,0.122585632
1707728.jpeg,MISSING,0.874443771,MISSING,0.531636860
1707663.jpeg,MISSING,0.881870264,Mø,0.603525311
1705908.jpeg,8-6-1914,0.666799030,Vamdrup,0.873552592
1709040.jpeg,9/9 72,0.240221279,Dyrh,0.344786299
1709905.jpeg,MISSING,0.779384662,MISSING,0.482324947
1709295.jpeg,MISSING,0.806714156,Kb,0.959996969
1705783.jpeg,3. 6. 1907,0.047726584,København,0.774928766
1743759.jpeg,28/7 1930.,0.358748105,Ærø.,0.711655047
1707622.jpeg,MISSING,0.887217339,Tidsvilde,0.604416490
1705582.jpeg,4-6 1965,0.693534404,V.Sjælland Røsnæs Kongstrup. Kl,0.113376781
1709312.jpeg,10-5-1915,0.454995453,Skagen,0.901773265
1709300.jpeg,26/3 1902,0.233091846,Vester Ulslev,0.295771446
1707548.jpeg,15.7.06,0.036438315,Dyrehaven,0.010891179
1706846.jpeg,d. 6 VIII 1972,0.601742952,Liseleje N. Sj.,0.289236132
1705878.jpeg,6.7.37,0.104762049,Trelde,0.438360109
1706967.jpeg,19/5. 1870.,0.591048803,Dyrehaven | Kb,0.281215520
1709546.jpeg,MISSING,0.789187633,Boserup,0.887811458
1706877.jpeg,26-7-1951,0.597881176,Nivå,0.934746893
1742755.jpeg,MISSING,0.756214004,Øbjerggård,0.609763565
1705617.jpeg,14-5-1954,0.690563807,Kulhuse,0.877711428
1708385.jpeg,17-9-49.,0.511733859,Grib Skov.,0.680760837
1743509.jpeg,MISSING,0.188829948,MISSING,0.370333434
1709831.jpeg,28.7.1923,0.419348287,Thorsager,0.584513489
1743708.jpeg,MISSING,0.729775690,Kb,0.949599879
1705881.jpeg,6.7.37,0.670066687,Trelde,0.826320097
1743947.jpeg,4-4-1953,0.332309791,Glumsø øst-skv,0.105356169
1707814.jpeg,MISSING,0.868205517,Ti,0.649272507
1743590.jpeg,MISSING,0.731260988,MISSING,0.466283722
1707434.jpeg,28/5-16.,0.561045771,Dragør,0.904446802
1706320.jpeg,7/1862,0.624022431,Rørvig,0.323397999
1744643.jpeg,22-5-1955,0.322506820,Skallingen,0.672146105
1709366.jpeg,16.4.70.,0.231903607,Livend,0.198335859
1708797.jpeg,16/7 13,0.020991209,Veile | Rask Horsens,0.121694453
1706985.jpeg,MISSING,0.921676266,MISSING,0.549163383
1705453.jpeg,MISSING,0.990000000,Veilø Bugt,0.634419521
1743802.jpeg,20/7-1932,0.353401031,Skallingen,0.673334344
1705961.jpeg,24.3.1970,0.659075477,Østjylland Klattrup syd f. Vejle,0.241112458
1705762.jpeg,24-5-1915,0.676602001,Skagen,0.910387996
1709784.jpeg,14.IV.1991,0.184076993,LFM PF58 RAVNSBY BAKKE,0.132685662
1707338.jpeg,MISSING,0.899990906,Bornholm,0.416377690
1706775.jpeg,30-6-1912,0.611842983,Sandbjerg,0.766314035
1709375.jpeg,6-4-1952,0.448460139,Dyrehaven,0.726508033
1707690.jpeg,MISSING,0.878305547,Boserup,0.861670203
1707969.jpeg,MISSING,0.856620188,Falster,0.261906638
1707275.jpeg,20-VIII-1976,0.571442861,Maltrup,0.620160655
1744553.jpeg,MISSING,0.719675659,Kb,0.946035162
1709518.jpeg,MISSING,0.794534707,Kb,0.957917551
1743823.jpeg,16.6.1929,0.349242195,Lellinge skov.,0.390236435
1708665.jpeg,9.93 | 4.93,0.071491361,Hunderup,0.053370718
1708762.jpeg,MISSING,0.838796605,MISSING,0.513813277
1706291.jpeg,15.V.2011,0.626993028,Røsnæsgd. NWZ,0.297553804
1707812.jpeg,MISSING,0.868502577,Ti,0.968908760
1709561.jpeg,IV. 91.,0.229230070,Sondbg,0.416674750
1743781.jpeg,30/8 1940,0.111594423,Tange,0.299633222
1707987.jpeg,MISSING,0.854837830,Kb,0.967423462
1709553.jpeg,MISSING,0.787108215,MISSING,0.486483783
1708775.jpeg,MISSING,0.836420127,MISSING,0.511139739
1707769.jpeg,MISSING,0.871473174,Øbjerggård,0.040003031
1707389.jpeg,MISSING,0.891673234,Boserup,0.890484995
1707541.jpeg,MISSING,0.888405577,MISSING,0.535795696
1710340.jpeg,23-6-1961,0.406277660,"MidtJylland Galgehøj, Hjarbæk",0.225071234
1706140.jpeg,MISSING,0.950193998,Bo,0.987623522
1708691.jpeg,21.X. 1976,0.184671112,"Sjælland Røsnæs, Kongstrup",0.233983025
1706963.jpeg,MISSING,0.924349803,Dyrchaven,0.073273719
1709036.jpeg,MISSING,0.816814186,MISSING,0.498960291
1707450.jpeg,18-6-49.,0.558372234,Hestehaven,0.400633525
1744679.jpeg,MISSING,0.708981510,MISSING,0.455589573
1706972.jpeg,MISSING,0.923458624,Kb,0.973661716
1708769.jpeg,MISSING,0.837014247,MISSING,0.512030918
1709582.jpeg,24/7 77,0.020100030,Hareskov,0.017426493
1707703.jpeg,6. 94,0.263688997,Skagen,0.902664444
1708845.jpeg,15-XI-1976,0.489157320,Ejstrupholm,0.641251895
1743003.jpeg,7.6.1990,0.375383450,Sose,0.938014550
1744451.jpeg,14.5.1947,0.324883298,Juelsminde,0.047132464
1707633.jpeg,6/1871.,0.540251591,Vendsyssel,0.592831161
1709767.jpeg,13-9-1952,0.427665959,Laveskov,0.426774780
1707510.jpeg,26-5-1965,0.552728099,V.Sjælland Røsnæs Kongstrup Kl,0.249430130
1707454.jpeg,12-6-50.,0.557183995,Jægerspris,0.632637163
1744697.jpeg,10-5-1956,0.318942104,Kongelunden,0.378948166
1707422.jpeg,23/6.1905,0.562234010,Mølgård Wendsyssel,0.105653228
1708466.jpeg,MISSING,0.848005456,MISSING,0.520942710
1709924.jpeg,MISSING,0.775522886,MISSING,0.480542589
1705977.jpeg,MISSING,0.959105790,MISSING,0.561342831
1707249.jpeg,MISSING,0.906823280,Dyrehaven,0.067332525
1709143.jpeg,Sommer 1940,0.036141255,Pjedsted ved Vejle.,0.168629888
1707041.jpeg,17-6-1922,0.588078206,Dyrehaven,0.762452258
1705683.jpeg,3/6.1870,0.145459230,Rønne,0.927320400
1707692.jpeg,MISSING,0.877711428,Boserup,0.889296757
1744686.jpeg,10-5-1956,0.320130343,Kongelunden,0.380433465
1705498.jpeg,29/5.1870,0.698881479,Dyrehaven,0.663234313
1709427.jpeg,27.IV.2022,0.436280691,"DENMARK: NEZ: Hellebæk Avlsgård, Kohave, 56.0554N, 12.5439E",0.219724159
1706285.jpeg,18-6-1956,0.628478327,Redsle Fl.,0.391127614
1710409.jpeg,3. 6. 1934.,0.394098212,Saltholm,0.813546529
1709821.jpeg,25-6.32,0.226556532,Kandestederne,0.045647166
1706784.jpeg,23.7.22,0.610357684,Tisvilde,0.710169748
1707841.jpeg,MISSING,0.863749621,Jægerspris,0.264580176
1705657.jpeg,15.7.37,0.684325553,Sose,0.885137921
1708723.jpeg,20.10.1946,0.496286754,Salten,0.670957866
1708037.jpeg,5/6 1909,0.518269172,Geels Skov,0.400336466
1709803.jpeg,4.5.1947,0.227447711,Færgelunden Horns H.,0.141003334
1706103.jpeg,MISSING,0.955244013,Veilø Bugt,0.297256744
1743868.jpeg,29-7-49.,0.342409821,Asserbo,0.842064262
1707784.jpeg,6/1862,0.262500758,Jægerspris,0.029308881
1707868.jpeg,4.11.59,0.533716278,Svejbæk,0.452618975
1705958.jpeg,16.6.1929,0.659372537,Lellinge skov,0.563125189
1709341.jpeg,19-9-1953,0.232497727,Dyrehaven,0.728587451
1709007.jpeg,MISSING,0.819190664,Lolland,0.856026069
1743957.jpeg,3.6.1974,0.032576538,KNUDSHODDE SJÆLLAND | DANMARK,0.112485602
1705964.jpeg,maj 75 | 1975,0.081591391,Tipperne Vestj. | Vestjyll. Tipperne,0.026635344
1706422.jpeg,17/6.1871,0.618675356,Dronninglund,0.323100940
1709009.jpeg,MISSING,0.818893604,Lolland,0.855729009
1707299.jpeg,15.5.1947,0.567878145,Juelsminde,0.415486511
1709058.jpeg,23.8.03,0.472819036,Mølbæk,0.703040315
1706834.jpeg,28-5-1965,0.604416490,V.Sjælland Røsnæs Kongstrup Kl,0.236656563
1707407.jpeg,MISSING,0.890484995,MISSING,0.538172173
1706095.jpeg,MISSING,0.957026372,Dyrehaven,0.771364050
1705474.jpeg,7/1870,0.311218551,Ørholm,0.915735071
1708941.jpeg,17/9.1876,0.056638375,Bornholm,0.664422552
1707511.jpeg,26-5-1965,0.552431040,V.Sjælland Røsnæs Kongstrup Kl,0.235171264
1708791.jpeg,10/73,0.246756593,Rask Horsens,0.353995150
1743844.jpeg,10-5-63,0.139220976,Faxe,0.932964535
1743751.jpeg,MISSING,0.727993331,MISSING,0.464204304
1706892.jpeg,20.VII.2021,0.595504698,"DENMARK: NWJ, Hjelm Hede (west), 56.48N, 8.89E, 16 m",0.235765383
1707409.jpeg,21/6 83,0.134170961,Esbjerg,0.433904213
1705524.jpeg,2/7 1898,0.697693240,Kulhuse,0.891376175
1707646.jpeg,MISSING,0.706307972,Møen,0.325477417
1743942.jpeg,d. 12 VIII 1972,0.165659291,Jæ. Dyrehave Sj.,0.270521370
1710336.jpeg,23-6-1961,0.407465899,"MidtJylland Galgehøj, Hjarbæk",0.226259473
1706205.jpeg,17-6-1922,0.637093059,Dyrehaven,0.769581691
1709842.jpeg,19.7.1928,0.417268869,Dronninglund,0.315080327
1744612.jpeg,6. 98,0.032279479,Esbjerg,0.616595938
1709877.jpeg,12/7.1870,0.415783571,Ørholm,0.402118824
1743900.jpeg,19-6-1954,0.336765687,"Ørgaard Nors, Thy",0.334092149
1707873.jpeg,4.1.60,0.260124280,Silkeborg,0.660857836
1706186.jpeg,9/6-19.,0.638875417,Nexø,0.804337678
1709348.jpeg,MISSING,0.805525917,MISSING,0.490642619
1707946.jpeg,6/1870,0.078917854,Dyrehaven,0.793643528
1710385.jpeg,4. VII. 1984,0.397662928,"Kås, Salling NWJ",0.190018187
1706117.jpeg,MISSING,0.954055774,MISSING,0.561045771
1743494.jpeg,6/6.1870,0.153479842,Bo | Østerlars,0.275868445
1742798.jpeg,MISSING,0.748490452,Sondbg,0.120506214
1706064.jpeg,5.6.12,0.644816611,Dyrehaven,0.771661109
1706329.jpeg,MISSING,0.943064565,MISSING,0.556589876
1708405.jpeg,"28.5,18",0.251509548,Thorsager,0.624913610
1743589.jpeg,MISSING,0.731558048,MISSING,0.466580782
1744673.jpeg,MISSING,0.709278569,MISSING,0.455886632
1708423.jpeg,18-9-1965 | 18-9-1965,0.112485602,Bokel | Bokel,0.120803274
1728592.jpeg,9-VI-1979,0.383701122,Røsnæs SNV,0.405980600
1709532.jpeg,MISSING,0.791861170,MISSING,0.489157320
1707404.jpeg,1/6 70,0.038517733,Rø,0.649569567
1707243.jpeg,MISSING,0.908308578,MISSING,0.542331009
1705802.jpeg,4.6.19,0.672443165,Thorsager,0.774631707
1706183.jpeg,8/6-19.,0.639172477,Hammeren,0.823349500
1705713.jpeg,MISSING,0.972176417,MISSING,0.568472264
1728466.jpeg,MISSING,0.771066990,MISSING,0.479057290
1709379.jpeg,6-4-1952 | 6-4-1952,0.447568960,Dyrehaven | Dyrehaven,0.258638982
1707245.jpeg,MISSING,0.907714459,MISSING,0.541736890
1707625.jpeg,MISSING,0.886326159,Tidsvilde,0.749381631
1744682.jpeg,1/6 1933,0.017426493,Saltholm,0.807902395
1706793.jpeg,26.6.1943,0.609169445,Vaserne Furesøen,0.309139133
1708892.jpeg,9-10-1972,0.481433768,MARSELISBORG,0.596098818
1709949.jpeg,24/7 1898,0.413407093,Færgelunden v. stranden,0.153182783
1709155.jpeg,MISSING,0.815328888,MISSING,0.371818733
1709550.jpeg,MISSING,0.787999394,MISSING,0.487374962
1709076.jpeg,17/8 1930.,0.471630797,Viborg-Silkebg,0.304089118
1728597.jpeg,1-5.1949.,0.093473780,Jonstrup Sjæll.,0.243191876
1709388.jpeg,18.5. 1947,0.176353440,Saltholm,0.813843589
1709190.jpeg,29-8-1952,0.463907245,Dyrehaven,0.735716884
1707438.jpeg,9/5-20.,0.560154592,Børstinge Mose,0.411327675
1706490.jpeg,MISSING,0.931182176,Al,0.919299788
1707348.jpeg,MISSING,0.898505608,Bo,0.983761746
1708821.jpeg,MISSING,0.832261291,MISSING,0.507277963
1709480.jpeg,MISSING,0.801961200,Dyrehaven,0.785325856
1728590.jpeg,6.VI.1978,0.384295241,Korod Lol.,0.406277660
1709797.jpeg,26.9.1947,0.227744771,Råbjerg Mile Jyll.,0.155856320
1708450.jpeg,4. 81.,0.250618369,Vesterø,0.066144286
1707235.jpeg,MISSING,0.910387996,MISSING,0.544410427
